dataset,model,protocol,level,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std
kaggle:spiral,efficientnet_b0,P1_image,image,0.6313725490196079,0.04018412065082192,0.6313725490196078,0.04018412065082197,0.4588235294117647,0.156002543379734,0.803921568627451,0.1791732047303634,0.542439166955196,0.09437153527195802,0.6780469050365244,0.0663106712879772,0.2990257935781832,0.08663048954918949
kaggle:spiral,efficientnet_b0,P1_image,subject,0.6214285714285714,0.08222046023729526,0.6374358974358975,0.07176281335532084,0.4133333333333334,0.2683281572999748,0.8615384615384615,0.18365132902020498,0.4980955061450417,0.2153377421144584,0.7158974358974358,0.037962575432454876,0.32907688530508306,0.11841545126061054
kaggle:spiral,efficientnet_b0,P2_subject,image,0.6156862745098038,0.029736766447261042,0.6156862745098038,0.029736766447260986,0.43921568627450985,0.1655673084908592,0.7921568627450981,0.13906371158036973,0.5171103896103896,0.11965141303273488,0.6783544790465206,0.037971495496681024,0.25990776270253046,0.05698119469944459
kaggle:spiral,efficientnet_b0,P2_subject,subject,0.6142857142857142,0.05868455973269641,0.6287179487179487,0.06006242643311649,0.42666666666666664,0.1673320053068151,0.8307692307692308,0.19153691689213437,0.5268825910931174,0.11814636469495168,0.6605128205128205,0.10505938960972337,0.30697852238673207,0.13884243918516195
kaggle:spiral,resnet50,P1_image,image,0.7176470588235294,0.05297747484747566,0.7176470588235294,0.05297747484747566,0.592156862745098,0.14030230447057504,0.8431372549019608,0.10375495337508196,0.6700797993616051,0.08645775613530615,0.8029988465974626,0.04359054609886986,0.46095993960077986,0.10102704601628534
kaggle:spiral,resnet50,P1_image,subject,0.7,0.047915742374995476,0.7148717948717949,0.04595398321480993,0.5066666666666666,0.10110500592068733,0.923076923076923,0.0769230769230769,0.6399700943179204,0.07439585162283233,0.8461538461538461,0.03905524669673806,0.4712170931390223,0.09567617792646439
kaggle:spiral,resnet50,P2_subject,image,0.7,0.03146432654094356,0.7,0.03146432654094353,0.5294117647058824,0.12631469339926593,0.8705882352941176,0.10244980766755396,0.6318647206063467,0.06677775620735966,0.7608612072279892,0.040623682273024944,0.4387512118718993,0.07132224816458091
kaggle:spiral,resnet50,P2_subject,subject,0.6357142857142858,0.046565731465733236,0.6497435897435897,0.04730056926431718,0.4533333333333333,0.1282358937444756,0.8461538461538461,0.14390989949130542,0.5642167487684728,0.07754381201563779,0.7446153846153847,0.05598910385212787,0.3409067790199033,0.12730953572608297
kaggle:spiral,vgg16,P1_image,image,0.6568627450980392,0.06792356108113247,0.6568627450980392,0.06792356108113247,0.6705882352941177,0.1877649352137116,0.6431372549019608,0.17504873820129918,0.6532746209683261,0.0884622307185545,0.7517877739331027,0.05935859654824573,0.33183629499118883,0.14561092349800517
kaggle:spiral,vgg16,P1_image,subject,0.6642857142857144,0.06487822187351767,0.6641025641025642,0.05369331177274853,0.6666666666666667,0.3091206165165234,0.6615384615384616,0.2642394467279642,0.6530992250992251,0.13560772405179278,0.7764102564102564,0.08161744279931392,0.38946020162236306,0.1375938477257956
kaggle:spiral,vgg16,P2_subject,image,0.6882352941176471,0.08387941033806838,0.6882352941176471,0.0838794103380684,0.5411764705882354,0.05648964819956052,0.8352941176470589,0.1572299623272898,0.6376246357507744,0.07181962136945558,0.7585544021530181,0.08905134093175364,0.4059429803630764,0.1922065360850953
kaggle:spiral,vgg16,P2_subject,subject,0.6285714285714287,0.09313146293146644,0.642051282051282,0.09766504768063924,0.4533333333333333,0.07302967433402213,0.8307692307692308,0.17541160386140586,0.5682655122655123,0.08086049011650913,0.7528205128205128,0.12837936877635825,0.3172449660098364,0.2164903452819602
