dataset,model,protocol,level,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std
kaggle:wave,efficientnet_b0,P1_image,image,0.6137254901960784,0.029897942513680203,0.6137254901960784,0.029897942513680206,0.5411764705882353,0.18735496761711773,0.6862745098039216,0.1870469022386168,0.5692844929958332,0.09764975255340443,0.706958861976163,0.026587255883506314,0.24450718039815666,0.06148216771373198
kaggle:wave,efficientnet_b0,P1_image,subject,0.65,0.058684559732696394,0.6599999999999999,0.05723752372603104,0.52,0.17888543819998315,0.8,0.17709022204955907,0.5995084485407066,0.1228416963964876,0.7528205128205128,0.024965459373616584,0.34959548810739716,0.11992675183899477
kaggle:wave,efficientnet_b0,P2_subject,image,0.5705882352941176,0.05476172566183898,0.5705882352941176,0.05476172566183898,0.32941176470588235,0.16073648260328782,0.8117647058823529,0.14842502641392596,0.41726911976911973,0.12962063150168893,0.6174548250672818,0.045865378978914115,0.17677832621577183,0.13849205631987394
kaggle:wave,efficientnet_b0,P2_subject,subject,0.5857142857142856,0.10289185922062812,0.6051282051282051,0.10312347462661646,0.3333333333333333,0.14907119849998596,0.876923076923077,0.15951108733329014,0.4535492577597841,0.13823624975596285,0.6266666666666667,0.06211270534826568,0.2673677824825312,0.23234807941985372
kaggle:wave,resnet50,P1_image,image,0.6843137254901961,0.05113099925649136,0.6843137254901961,0.05113099925649133,0.4901960784313726,0.07069708383262722,0.8784313725490197,0.0994022890638163,0.6072849931250704,0.06134510224592588,0.7757016532103037,0.05741877816285984,0.4086304715096838,0.12370985551249804
kaggle:wave,resnet50,P1_image,subject,0.7071428571428571,0.06388765649999395,0.7225641025641025,0.06202796764803513,0.5066666666666666,0.10110500592068732,0.9384615384615385,0.06435846357954425,0.6460068916590656,0.08913545824616993,0.841025641025641,0.08181054427458372,0.48693014726488365,0.12527942244948453
kaggle:wave,resnet50,P2_subject,image,0.6470588235294118,0.028583097523751492,0.6470588235294118,0.028583097523751527,0.5215686274509804,0.06443794794178423,0.7725490196078432,0.06292865308188714,0.5950908140540498,0.040607232510598806,0.7288735101883891,0.033089231697731786,0.30607134521299734,0.061526560883342414
kaggle:wave,resnet50,P2_subject,subject,0.6071428571428571,0.09105391988558545,0.617948717948718,0.09164649231108475,0.4666666666666667,0.10540925533894596,0.7692307692307693,0.12162606385262997,0.55811655011655,0.10492320576716825,0.6964102564102564,0.08021994748004706,0.24963088084387727,0.19401007096782988
kaggle:wave,vgg16,P1_image,image,0.7196078431372549,0.052613364176465595,0.7196078431372549,0.05261336417646557,0.8,0.08812629433036949,0.6392156862745099,0.06591269142733962,0.7392070927215493,0.05724600478025155,0.8103037293348712,0.06031583388302537,0.44764569854341935,0.10617228312185234
kaggle:wave,vgg16,P1_image,subject,0.7285714285714285,0.07405871911902756,0.7251282051282051,0.07609382077081113,0.7733333333333333,0.1299572579307862,0.676923076923077,0.16676525683599078,0.7514783691254279,0.07315223298072147,0.8174358974358974,0.0823392383032874,0.46555131114936543,0.1542422360896725
kaggle:wave,vgg16,P2_subject,image,0.6098039215686274,0.0446051496708914,0.6098039215686274,0.0446051496708914,0.6549019607843137,0.26108636495496645,0.5647058823529412,0.22925250044021994,0.6007475165748751,0.15534025119588207,0.6956555171088042,0.029726823201719474,0.2393582206103237,0.07426878162227406
kaggle:wave,vgg16,P2_subject,subject,0.6142857142857142,0.08892785427134813,0.6102564102564102,0.09847622753677704,0.6666666666666666,0.23570226039551584,0.5538461538461539,0.3414206310949561,0.6318232523255649,0.12816366890772646,0.6574358974358974,0.09176478521410707,0.24797690230962083,0.21184988972771887
