dataset,model,protocol,level,n_train_subjects,n_test_subjects,n_overlapping_subjects,overlap_fraction_of_test,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
kaggle:wave,-,provided_split_leakage,subject,28.0,24.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
kaggle:wave,vgg16,P1_image,image,,,,,1.0,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.717031910803537,0.29411764705882354,0.6442309095164543,0.5390686274509804,0.7685763888888889,0.7071940907589372,0.568725887345679,0.8305644865989693,0.6458609308449361,0.5262531328320802,0.7844028520499109,0.6281260654259202,0.43119429590017827,0.8172603046594983,,,,,,
kaggle:wave,vgg16,P1_image,subject,,,,,1.0,0.6428571428571429,0.6461538461538461,0.6,0.6923076923076923,0.6428571428571429,0.6871794871794871,0.2923076923076923,0.6539285714285714,0.5,0.8214285714285714,0.6910138651299988,0.4547916666666667,0.8725127551020408,0.618541051977778,0.3748355263157895,0.8461538461538461,0.6925383890060748,0.44333333333333336,0.9230769230769231,,,,,,
kaggle:wave,vgg16,P2_subject,image,,,,,1.0,0.6372549019607843,0.6372549019607843,0.6862745098039216,0.5882352941176471,0.6542056074766355,0.7185697808535177,0.2758386421836852,0.6490514518016832,0.43491161616161617,0.84375,0.7357388585796935,0.506937610229277,0.9437215470679012,0.6813488049211134,0.4665740740740741,0.8753472222222223,0.6364695563058482,0.2805023923444976,1.0,,,,,,
kaggle:wave,vgg16,P2_subject,subject,,,,,1.0,0.75,0.7512820512820513,0.7333333333333333,0.7692307692307693,0.7586206896551724,0.8,0.5012804118276031,0.7428571428571428,0.5705357142857143,0.8928571428571429,0.7936840978317165,0.558903743315508,0.9480649038461539,0.7234241589378974,0.46111111111111114,0.9375919117647059,0.7683043999129526,0.5,1.0,,,,,,
kaggle:wave,vgg16,leakage_probe,image,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.9411764705882353,0.65625,0.5,0.49590643274853796,0.5672514619883041,0.5490196078431373
kaggle:wave,resnet50,P1_image,image,,,,,1.0,0.6274509803921569,0.6274509803921569,0.47058823529411764,0.7843137254901961,0.5581395348837209,0.7566320645905421,0.2684552668084303,0.6231064906956935,0.47619047619047616,0.7283869395711502,0.7590086414417496,0.6286119771982868,0.8596698365980742,0.4657195671290997,0.2708333333333333,0.6335714285714286,0.7848811537132222,0.6666666666666666,0.9091414141414141,,,,,,
kaggle:wave,resnet50,P1_image,subject,,,,,1.0,0.6428571428571429,0.6564102564102564,0.4666666666666667,0.8461538461538461,0.5833333333333334,0.8256410256410256,0.33405230603887553,0.6380357142857143,0.42857142857142855,0.8214285714285714,0.8147752313759818,0.6101282051282052,0.9492294610151754,0.46431369209136236,0.21026315789473685,0.7142857142857143,0.8380662739608173,0.6426948051948053,1.0,,,,,,
kaggle:wave,resnet50,P2_subject,image,,,,,1.0,0.5980392156862745,0.5980392156862745,0.47058823529411764,0.7254901960784313,0.5393258426966292,0.6751249519415609,0.20277677641345318,0.5788665161630147,0.3800595238095238,0.7537220026350462,0.6600318467331107,0.42872873960190133,0.8260064935064936,0.4537048924860929,0.2,0.7170833333333334,0.6999619692867953,0.39972222222222226,0.907638888888889,,,,,,
kaggle:wave,resnet50,P2_subject,subject,,,,,1.0,0.4642857142857143,0.47435897435897434,0.3333333333333333,0.6153846153846154,0.4,0.6205128205128205,-0.05337605126836238,0.46714285714285714,0.2857142857142857,0.6785714285714286,0.6233873688254286,0.3912483130904184,0.8557051282051283,0.3433819232023566,0.07142857142857142,0.6,0.6067772547799638,0.35654761904761906,0.9166666666666666,,,,,,
kaggle:wave,resnet50,leakage_probe,image,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.9411764705882353,0.625,0.6666666666666666,0.6128654970760233,0.6035087719298246,0.6274509803921569
